Timestamp,Open,High,Low,Close,Volume
2012-07-10,226.25,227.14,218.28,10.975,2982100
2012-07-11,218.95,221.74,215.34,10.9185,2734700
2012-07-12,216.61,217.3,212.61,10.768,2616200
2012-07-13,215.63,219.31,213.88,10.9195,2221900
2012-07-16,216.6,218.31,214.46,10.8005,2004200
2012-07-17,217.45,217.94,213.96,10.8465,1987000
2012-07-18,216.15,218.67,215.71,10.8735,2093000
2012-07-19,220.73,227.5,220.69,11.3085,5449400
2012-07-20,225.36,229.39,225.295,11.4145,4170000
2012-07-23,224.72,226.58,221.54,11.3005,5515100
2012-07-24,226.27,226.61,221.23,11.152,5008700
2012-07-25,222.0,222.5,215.91,10.8525,3646700
2012-07-26,220.0,221.45,214.95,11.0005,6937400
2012-07-27,225.25,238.34,224.5,11.866,11313900
2012-07-30,237.0,240.74,234.07,11.8045,3736400
2012-07-31,235.1,236.3,231.61,11.665,3453600
2012-08-01,234.14,234.38,230.7001,11.6045,2543800
2012-08-02,230.56,234.34,228.66,11.5405,3048100
2012-08-03,234.03,236.49,233.03,11.7485,2825300
2012-08-06,235.56,235.74,233.81,11.6995,1843700
2012-08-07,234.13,238.0,233.25,11.828,2058300
2012-08-08,235.29,236.45,233.592,11.719,1534300
2012-08-09,233.93,235.99,233.5,11.703,1548100
2012-08-10,233.08,234.85,231.43,11.6375,1852500
2012-08-13,232.23,234.3676,231.0,11.622,1997300
2012-08-14,234.71,236.72,232.6207,11.6595,2751000
2012-08-15,232.26,238.14,232.25,11.871,3264700
2012-08-16,237.72,242.825,236.2,12.0775,4312100
2012-08-17,240.6,243.35,240.47,12.0585,3085800
2012-08-20,241.3736,241.65,238.2,12.0175,1889900
2012-08-21,240.88,243.85,238.55,11.9725,2571500
2012-08-22,239.4,244.9,238.8,12.155,2473700
2012-08-23,242.14,243.48,239.02,12.0599,2453900
2012-08-24,241.68,246.87,241.36,12.287,3698800
2012-08-27,245.79,247.5,243.12,12.196,2929700
2012-08-28,243.97,246.7799,243.0,12.3055,2742300
2012-08-29,246.78,247.61,244.59,12.356,1772600
2012-08-30,246.99,250.0,245.25,12.311,3647500
2012-08-31,248.07,249.45,245.5001,12.4135,3347500
2012-09-04,248.27,251.0,244.66,12.394,3950800
2012-09-05,247.61,248.61,245.3,12.311,2652600
2012-09-06,248.23,252.7,247.2,12.569,5361400
2012-09-07,253.85,259.42,253.52,12.957,5029500
2012-09-10,259.0,260.0,256.82,12.8545,2567200
2012-09-11,257.6,257.6,254.26,12.7835,2524800
2012-09-12,256.5,257.78,253.5,12.7815,2273200
2012-09-13,254.94,262.0,253.8,13.012,3525600
2012-09-14,261.4,264.11,259.77,13.0635,3666200
2012-09-17,261.25,261.25,257.0,12.9,2306300
2012-09-18,258.48,260.5,257.0,12.9375,2215000
2012-09-19,259.45,262.84,258.53,13.084,2636800
2012-09-20,260.03,260.87,258.0,13.0405,2913600
2012-09-21,261.74,262.0,256.74,12.8735,6059300
2012-09-24,255.22,255.6,253.0,12.74025,2707900
2012-09-25,256.33,258.95,251.03,12.623,4405800
2012-09-26,252.4,254.61,248.23,12.4835,2920500
2012-09-27,250.54,257.4,250.52,12.8295,3397400
2012-09-28,256.14,257.0,253.2,12.716,2456600
2012-10-01,255.4,256.16,250.49,12.6005,2581200
2012-10-02,252.8,253.15,249.03,12.53,2195800
2012-10-03,251.21,256.1,249.56,12.796,2745600
2012-10-04,256.01,261.52,255.87,13.0235,2700400
2012-10-05,261.2,261.9,257.49,12.9255,2806500
2012-10-08,257.67,259.8,255.56,12.953,1762300
2012-10-09,258.67,259.35,250.73,12.548,3494800
2012-10-10,252.0,252.46,244.01,12.2495,3948300
2012-10-11,248.0,249.3,241.89,12.211,3447300
2012-10-12,243.33,245.46,241.91,12.118,2203200
2012-10-15,242.85,244.776,238.51,12.209,2959800
2012-10-16,244.87,245.77,242.08,12.197,2204100
